股票简称,股票代码,上市日期,发行价,最新价,发行中签率,总发行数,首日涨幅
首创证券,601136,2022-12-22 00:00:00,7.07,16.11,0.12829522,27333.38,-5.24
源杰科技,688498,2022-12-21 00:00:00,100.66,197.54,0.04194002,1500,-2.49
燕东微,688172,2022-12-16 00:00:00,21.98,21.74,0.05307049,17986.5617,-1.14
华新环保,301265,2022-12-16 00:00:00,13.28,12.5,0.0285734496,7575,-3.55
星源卓镁,301398,2022-12-15 00:00:00,34.4,64.0,0.0196697973,2000,-4.65
丰立智能,301368,2022-12-15 00:00:00,22.33,45.3,0.0210835392,3010,-1.2
长盈通,688143,2022-12-12 00:00:00,35.67,30.84,0.03364839,2353.3544,0.13
欧克科技,001223,2022-12-12 00:00:00,65.58,86.83,0.0147394498,1668,-2.11
聚和材料,688503,2022-12-09 00:00:00,110,86.82,0.04247298,2800,-2.84
美腾科技,688420,2022-12-09 00:00:00,48.96,32.51,0.03665678,2211,-4.66
晶品特装,688084,2022-12-08 00:00:00,60.98,71.15,0.03813277,1900,0.54
宁波远洋,601022,2022-12-08 00:00:00,8.22,10.57,0.08008831,13086.3334,-0.38
光华股份,001333,2022-12-08 00:00:00,27.76,25.43,0.0286694154,3200,-1.01
炜冈科技,001256,2022-12-05 00:00:00,13.64,17.96,0.0290791447,3565.35,-1.86
三未信安,688489,2022-12-02 00:00:00,78.89,54.14,0.04459813,1914,-2.82
卡莱特,301391,2022-12-01 00:00:00,96,98.21,0.022423926,1700,-0.19
昆船智能,301311,2022-11-30 00:00:00,13.88,29.77,0.0260699289,6000,5.34
东星医疗,301290,2022-11-30 00:00:00,44.09,32.56,0.0214502942,2504.3334,-1.12
赛恩斯,688480,2022-11-25 00:00:00,19.18,30.14,0.03506215,2370.6667,0.2
鼎泰高科,301377,2022-11-22 00:00:00,22.88,20.3,0.0261288369,5000,-0.34
矩阵股份,301365,2022-11-22 00:00:00,34.72,18.9,0.0220817446,3000,-9.96
锐捷网络,301165,2022-11-21 00:00:00,32.38,49.18,0.0293388411,6818.1818,-2.34
美埃科技,688376,2022-11-18 00:00:00,29.19,34.3,0.03737254,3360,-1.49
云中马,603130,2022-11-18 00:00:00,19.72,24.18,0.03538616,3500,-0.78
天元宠物,301335,2022-11-18 00:00:00,49.98,25.07,0.0216820263,2250,-0.99
甬矽电子,688362,2022-11-16 00:00:00,18.54,36.36,0.03809281,6000,-7.43
众智科技,301361,2022-11-16 00:00:00,26.44,24.93,0.0217322233,2908.4,-1.11
新天地,301277,2022-11-16 00:00:00,27,19.83,0.020690713,3336,-2.84
永顺泰,001338,2022-11-16 00:00:00,6.82,17.52,0.0611393846,12543.2708,-1.07
天振股份,301356,2022-11-14 00:00:00,63,22.56,0.0234412483,3000,-1.78
宏景科技,301396,2022-11-11 00:00:00,40.13,34.2,0.0197982199,2284.49,-3.23
有研硅,688432,2022-11-10 00:00:00,9.91,14.83,0.05487108,18714.3158,-0.34
欣灵电气,301388,2022-11-09 00:00:00,25.88,26.9,0.0220829603,2561.19,3.7
东南电子,301359,2022-11-09 00:00:00,20.84,25.98,0.0212544209,2146,-0.8
南方路机,603280,2022-11-08 00:00:00,23.75,24.54,0.03577692,2710.1667,-0.32
耐科装备,688419,2022-11-07 00:00:00,37.85,40.09,0.0391148,2050,-9.03
华厦眼科,301267,2022-11-07 00:00:00,50.88,42.65,0.0310692884,6000,-1.23
天山电子,301379,2022-11-01 00:00:00,31.51,35.0,0.0214557386,2534,-0.65
怡和嘉业,301367,2022-11-01 00:00:00,119.88,148.24,0.0220352798,1600,0.88
泓博医药,301230,2022-11-01 00:00:00,40,46.53,0.0217546059,1925,-2.53
隆扬电子,301389,2022-10-31 00:00:00,22.5,17.36,0.0284536757,7087.5,-2.36
美能能源,001299,2022-10-31 00:00:00,10.69,15.84,0.0321490787,4690,-2.28
好上好,001298,2022-10-31 00:00:00,35.32,23.35,0.0252450029,2400,-2.06
麒麟信安,688152,2022-10-28 00:00:00,68.89,109.8,0.03849827,1321.1181,-7.26
伟测科技,688372,2022-10-26 00:00:00,61.49,98.98,0.03691665,2180.27,-3.36
金橙子,688291,2022-10-26 00:00:00,26.77,31.29,0.04230474,2566.67,-1.36
中荣股份,301223,2022-10-26 00:00:00,26.28,19.39,0.0293752181,4830,-1.87
箭牌家居,001322,2022-10-26 00:00:00,12.68,17.15,0.0527303176,9660.9517,-2.17
康为世纪,688426,2022-10-25 00:00:00,48.98,31.87,0.03950079,2329.0278,-1.36
挖金客,301380,2022-10-25 00:00:00,34.78,42.63,0.0183252452,1700,-1.21
瑞晨环保,301273,2022-10-25 00:00:00,37.89,31.38,0.022935071,1791.0448,-1.66
永信至诚,688244,2022-10-19 00:00:00,49.19,77.38,0.04875282,1170.7826,-2.74
邦基科技,603151,2022-10-19 00:00:00,17.95,16.94,0.04295275,4200,0.24
卓创资讯,301299,2022-10-19 00:00:00,29.99,51.9,0.0164833713,1500,-2.95
三柏硕,001300,2022-10-19 00:00:00,11.17,12.75,0.0407870524,6094.3979,-0.93
灿瑞科技,688061,2022-10-18 00:00:00,112.69,45.69,0.04980103,1927.68,-4.01
星环科技-U,688031,2022-10-18 00:00:00,47.34,99.09,0.05372469,3021.06,-3.21
圣晖集成,603163,2022-10-13 00:00:00,27.25,38.66,0.01810859,2000,-1.88
慧博云通,301316,2022-10-13 00:00:00,7.6,21.82,0.0259493906,4001,-2.72
哈铁科技,688459,2022-10-12 00:00:00,13.58,9.75,0.05086485,12000,-1.02
美好医疗,301363,2022-10-12 00:00:00,30.66,43.19,0.0264763456,4427,-1.93
毕得医药,688073,2022-10-11 00:00:00,88,64.04,0.03846846,1622.91,-0.12
可川科技,603052,2022-10-11 00:00:00,34.68,30.77,0.01732294,1720,-2.29
富创精密,688409,2022-10-10 00:00:00,69.99,85.0,0.04547514,5226.3334,-10.15
凡拓数创,301313,2022-09-30 00:00:00,25.25,42.84,0.0196652868,2558.34,-4.91
欧晶科技,001269,2022-09-30 00:00:00,15.65,57.41,0.0281562891,3435.6407,-0.85
博菲电气,001255,2022-09-30 00:00:00,19.77,36.65,0.0136245936,2000,-1.35
万润新能,688275,2022-09-29 00:00:00,299.88,89.12,0.04198703,2130.3795,0.13
近岸蛋白,688137,2022-09-29 00:00:00,106.19,53.12,0.03577686,1754.386,-1.19
唯特偶,301319,2022-09-29 00:00:00,47.75,55.07,0.0183478771,1466,-0.42
鸿日达,301285,2022-09-28 00:00:00,14.6,14.58,0.0246471737,5167,-3.44
逸豪新材,301176,2022-09-28 00:00:00,23.88,16.96,0.0227977107,4226.6667,-2.42
骄成超声,688392,2022-09-27 00:00:00,71.18,87.7,0.03517228,2050,-2.57
天德钰,688252,2022-09-27 00:00:00,21.68,19.14,0.03944566,4055.56,-1.95
信科移动-U,688387,2022-09-26 00:00:00,6.05,7.3,0.12319043,68375,0.14
紫燕食品,603057,2022-09-26 00:00:00,15.15,25.8,0.04321101,4200,0.0
一博科技,301366,2022-09-26 00:00:00,65.35,39.63,0.0201459943,2083.3334,-6.09
森鹰窗业,301227,2022-09-26 00:00:00,38.25,31.85,0.0201093259,2370,1.99
邦彦技术,688132,2022-09-23 00:00:00,28.88,24.85,0.03669412,3805.6301,0.32
联动科技,301369,2022-09-22 00:00:00,96.58,77.4,0.0133228014,1160.0045,-8.74
磁谷科技,688448,2022-09-21 00:00:00,32.9,29.93,0.03254708,1781.53,-1.74
诺诚健华-U,688428,2022-09-21 00:00:00,11.03,11.83,0.0601096,26464.8217,-0.08
恩威医药,301331,2022-09-21 00:00:00,29.8,40.27,0.0138808256,1754,-1.32
捷邦科技,301326,2022-09-21 00:00:00,51.72,34.89,0.0175980135,1810,-1.58
锡装股份,001332,2022-09-20 00:00:00,59.9,38.55,0.013247518,2000,-1.15
帕瓦股份,688184,2022-09-19 00:00:00,51.88,26.15,0.03382154,3359.4557,-1.13
德邦科技,688035,2022-09-19 00:00:00,46.12,57.3,0.03362132,3556,-4.9
